model_id,epoch,train_loss,val_loss,train_acc,val_acc,GE
0,1,0.8294233125610352,0.8265591242103577,0.5406179999999999,0.546248,3
0,2,0.8260215066871643,0.8251500004577637,0.5458959999999999,0.546248,3
0,3,0.825551473739624,0.8253037174415588,0.546248,0.546248,3
0,4,0.8254109245452881,0.8249139122619629,0.546248,0.546248,3
0,5,0.8253519439468384,0.8249408076934814,0.546248,0.546248,3
1,1,0.8298652201156617,0.8259404030609131,0.5424479999999999,0.546248,3
1,2,0.8274396845550537,0.8273451983528137,0.54593,0.546248,3
1,3,0.8257624046936035,0.8248881078643799,0.546248,0.546248,3
1,4,0.825549944972992,0.8248803656463624,0.546248,0.546248,3
1,5,0.8253796995735169,0.8249139829177856,0.546248,0.546248,3
