model_id,epoch,train_loss,val_loss,train_acc,val_acc,GE
0,1,5.556847618076719,5.547771277039627,0.0039051724137931032,0.0038051724137931034,224
0,2,5.547579181644834,5.54748117241695,0.0038948275862068964,0.004068965517241379,48
0,3,5.547236064674115,5.547167189630969,0.0038810344827586206,0.003886206896551724,88
0,4,5.547277412414551,5.546317664047767,0.003913793103448276,0.003796551724137931,15
0,5,5.547079894046126,5.546244380345838,0.003843103448275862,0.0040344827586206895,188
0,6,5.547020435833109,5.546274318116287,0.0038913793103448275,0.004068965517241379,231
0,7,5.546928371218978,5.5470076946127005,0.003948275862068965,0.0038120689655172413,68
0,8,5.54697833117781,5.546442885615908,0.004,0.00406551724137931,84
1,1,5.557770604495344,5.54766768301602,0.003989655172413793,0.0038741379310344827,56
1,2,5.547383452632509,5.546178208502408,0.003943103448275862,0.003912068965517241,3
1,3,5.546809160798172,5.546699000575624,0.003967241379310345,0.003991379310344828,30
1,4,5.546636521280223,5.546169279979837,0.0039758620689655175,0.003986206896551724,63
1,5,5.546569763288827,5.54641974845097,0.003889655172413793,0.003946551724137931,134
1,6,5.546492488676926,5.5458110005872,0.003993103448275862,0.004117241379310345,47
