model_id,epoch,train_loss,val_loss,train_acc,val_acc,GE
0,1,0.8290590853424072,0.8260167538871765,0.541022,0.546248,3
0,2,0.8261188073158264,0.8263758741836548,0.5456099999999999,0.546248,3
0,3,0.8256110130004883,0.8254067554969787,0.5461199999999999,0.546248,3
0,4,0.8253868099517823,0.8249170963020325,0.546248,0.546248,3
0,5,0.8252839089889527,0.824986117401123,0.546248,0.546248,3
1,1,0.8295294597930908,0.8272353541030883,0.542042,0.546248,3
1,2,0.8259105121536255,0.8289488864326477,0.546142,0.546248,3
1,3,0.8255419626960755,0.8251819562263488,0.546168,0.546248,3
1,4,0.8254409227790832,0.8249530018920899,0.546248,0.546248,3
1,5,0.8463724845504761,0.8248824394416809,0.5457179999999999,0.546248,3
